date,year,month,monthly_precip_mm,gauge_id
1997_1,1997,1,59.028999999999996,p354-775
1997_10,1997,10,80.563,p354-775
1997_11,1997,11,80.925,p354-775
1997_12,1997,12,94.524,p354-775
1997_2,1997,2,92.27000000000001,p354-775
1997_3,1997,3,106.63799999999999,p354-775
1997_4,1997,4,108.83800000000001,p354-775
1997_5,1997,5,79.347,p354-775
1997_6,1997,6,116.656,p354-775
1997_7,1997,7,147.899,p354-775
1997_8,1997,8,67.32000000000001,p354-775
1997_9,1997,9,112.816,p354-775
1998_1,1998,1,139.861,p354-775
1998_10,1998,10,31.479,p354-775
1998_11,1998,11,67.458,p354-775
1998_12,1998,12,121.20100000000001,p354-775
1998_2,1998,2,211.361,p354-775
1998_3,1998,3,121.162,p354-775
1998_4,1998,4,110.856,p354-775
1998_5,1998,5,160.876,p354-775
1998_6,1998,6,102.645,p354-775
1998_7,1998,7,77.722,p354-775
1998_8,1998,8,167.94299999999998,p354-775
1998_9,1998,9,36.016,p354-775
1999_1,1999,1,104.189,p354-775
1999_10,1999,10,78.10300000000001,p354-775
1999_11,1999,11,29.785,p354-775
1999_12,1999,12,57.642,p354-775
1999_2,1999,2,47.715,p354-775
1999_3,1999,3,68.107,p354-775
1999_4,1999,4,125.831,p354-775
1999_5,1999,5,87.715,p354-775
1999_6,1999,6,122.83800000000001,p354-775
1999_7,1999,7,55.986,p354-775
1999_8,1999,8,103.039,p354-775
1999_9,1999,9,560.563,p354-775
2000_1,2e3,1,156.212,p354-775
2000_10,2e3,10,5.066,p354-775
2000_11,2e3,11,102.488,p354-775
2000_12,2e3,12,56.493,p354-775
2000_2,2e3,2,42.914,p354-775
2000_3,2e3,3,83.8,p354-775
2000_4,2e3,4,149.185,p354-775
2000_5,2e3,5,70.072,p354-775
2000_6,2e3,6,85.16199999999999,p354-775
2000_7,2e3,7,139.13,p354-775
2000_8,2e3,8,81.066,p354-775
2000_9,2e3,9,191.297,p354-775
2001_1,2001,1,44.399,p354-775
2001_10,2001,10,28.325,p354-775
2001_11,2001,11,34.833,p354-775
2001_12,2001,12,32.448,p354-775
2001_2,2001,2,60.483,p354-775
2001_3,2001,3,175.724,p354-775
2001_4,2001,4,58.42,p354-775
2001_5,2001,5,134.496,p354-775
2001_6,2001,6,140.337,p354-775
2001_7,2001,7,79.961,p354-775
2001_8,2001,8,76.642,p354-775
2001_9,2001,9,69.912,p354-775
2002_1,2002,1,169.24,p354-775
2002_10,2002,10,120.322,p354-775
2002_11,2002,11,104.718,p354-775
2002_12,2002,12,103.299,p354-775
2002_2,2002,2,53.838,p354-775
2002_3,2002,3,198.39,p354-775
2002_4,2002,4,86.081,p354-775
2002_5,2002,5,90.216,p354-775
2002_6,2002,6,46.802,p354-775
2002_7,2002,7,88.747,p354-775
2002_8,2002,8,117.209,p354-775
2002_9,2002,9,78.263,p354-775
2003_1,2003,1,71.917,p354-775
2003_10,2003,10,143.015,p354-775
2003_11,2003,11,59.439,p354-775
2003_12,2003,12,93.049,p354-775
2003_2,2003,2,104.024,p354-775
2003_3,2003,3,161.544,p354-775
2003_4,2003,4,162.644,p354-775
2003_5,2003,5,194.41,p354-775
2003_6,2003,6,154.396,p354-775
2003_7,2003,7,183.893,p354-775
2003_8,2003,8,165.467,p354-775
2003_9,2003,9,164.931,p354-775
2004_1,2004,1,65.928,p354-775
2004_10,2004,10,61.302,p354-775
2004_11,2004,11,78.103,p354-775
2004_12,2004,12,83.437,p354-775
