#
#
# US Geological Survey, Water Resources Data
# retrieved: 2018-01-27 14:24:44 EST      (vaww01)
#
# This file contains USGS Surface-Water Monthly Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit https://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd    agency code
# site_no USGS site number
# parameter_cd
# ts_id
# year_nu Calendar year for value
# month_nu     Month for value
# mean_va monthly-mean value.
#         if there is not complete record
#         for a month this field is blank
#
#
# Sites in this file include:
# USGS 02091500 CONTENTNEA CREEK AT HOOKERTON, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		85389	
#
#
agency_cd	site_no	parameter_cd	ts_id	year_nu	month_nu	mean_va
5s	15s	5s	3n	4s	2s	12n
USGS	02091500	00060	85389	1928	12	490.5
USGS	02091500	00060	85389	1929	1	1744
USGS	02091500	00060	85389	1929	2	1780
USGS	02091500	00060	85389	1929	3	3169
USGS	02091500	00060	85389	1929	4	873.9
USGS	02091500	00060	85389	1929	5	1225
USGS	02091500	00060	85389	1929	6	1253
USGS	02091500	00060	85389	1929	7	2203
USGS	02091500	00060	85389	1929	8	829.3
USGS	02091500	00060	85389	1929	9	1025
USGS	02091500	00060	85389	1929	10	3667
USGS	02091500	00060	85389	1929	11	2125
USGS	02091500	00060	85389	1929	12	1912
USGS	02091500	00060	85389	1930	1	1549
USGS	02091500	00060	85389	1930	2	1509
USGS	02091500	00060	85389	1930	3	865.9
USGS	02091500	00060	85389	1930	4	696.6
USGS	02091500	00060	85389	1930	5	184.9
USGS	02091500	00060	85389	1930	6	935.6
USGS	02091500	00060	85389	1930	7	200.7
USGS	02091500	00060	85389	1930	8	92.8
USGS	02091500	00060	85389	1930	9	125.4
USGS	02091500	00060	85389	1930	10	62.5
USGS	02091500	00060	85389	1930	11	102.9
USGS	02091500	00060	85389	1930	12	292.6
USGS	02091500	00060	85389	1931	1	590.5
USGS	02091500	00060	85389	1931	2	375.9
USGS	02091500	00060	85389	1931	3	431.7
USGS	02091500	00060	85389	1931	4	1014
USGS	02091500	00060	85389	1931	5	801.5
