month,year,obs_flow_out_cfs,obs_flow_out_cms
1,1997,1354,38.34101084
2,1997,1300,36.8119011
3,1997,1101,31.17684855
4,1997,556.1,15.74699862
5,1997,777.3,22.01068517
6,1997,199,5.635052553
7,1997,157.7,4.465566772
8,1997,117.4,3.324397838
9,1997,90.1,2.551347915
10,1997,68.9,1.951030758
11,1997,127.8,3.618893047
12,1997,521.5,14.76723571
1,1998,1940,54.93468318
2,1998,3709,105.0271855
3,1998,2799,79.25885475
4,1998,1454,41.17269554
5,1998,640.5,18.1369405
6,1998,278.2,7.877746835
7,1998,182.2,5.159329523
8,1998,273.1,7.733330916
9,1998,534.3,15.12969135
10,1998,132.2,3.743487173
11,1998,160.8,4.553348998
12,1998,481.3,13.62889846
1,1999,2481,70.25409741
2,1999,1182,33.47051315
3,1999,643.4,18.21905936
4,1999,474.7,13.44200727
5,1999,359.8,10.18840155
6,1999,170.9,4.839349152
7,1999,152.6,4.321150852
8,1999,84.5,2.392773572
9,1999,8825,249.8961748
10,1999,4798,135.8642319
11,1999,1256,35.56595983
12,1999,697.2,19.74250573
1,2000,1294,36.64200002
2,2000,2473,70.02756263
3,2000,929.6,26.32334097
4,2000,821.6,23.2651215
5,2000,396.6,11.23046152
6,2000,197.8,5.601072337
7,2000,272.5,7.716340808
8,2000,816.5,23.12070558
9,2000,635.1,17.98402953
10,2000,613.8,17.38088069
11,2000,283.2,8.01933107
12,2000,547.6,15.50630542
1,2001,390.1,11.04640201
2,2001,541.1,15.32224591
3,2001,1298,36.75526741
4,2001,1421,40.23823959
5,2001,260.2,7.368043589
6,2001,921.7,26.09963788
7,2001,297.2,8.415766928
8,2001,574.1,16.25670186
9,2001,248.1,7.025409741
10,2001,132.6,3.754813912
11,2001,120.9,3.423506802
12,2001,163.1,4.618477746
1,2002,1009,28.57169862
2,2002,893.6,25.30393448
3,2002,621.5,17.59892041
4,2002,822.5,23.29060666
5,2002,174.6,4.944121486
6,2002,92.8,2.627803402
7,2002,100.5,2.845843124
8,2002,114.9,3.25360572
9,2002,604,17.10337559
10,2002,463.3,13.11919522
11,2002,1177,33.32892892
12,2002,1154,32.67764144
1,2003,752.9,21.31975411
2,2003,1411,39.95507112
3,2003,2752,77.92796294
4,2003,2174,61.56082538
5,2003,1528,43.26814222
6,2003,952.8,26.98029182
7,2003,1300,36.8119011
8,2003,1959,55.47270327
9,2003,593.6,16.80888038
10,2003,471.7,13.35705673
11,2003,999,28.28853015
12,2003,1665,47.14755026
1,2004,607,17.18832613
2,2004,1092,30.92199692
3,2004,815.4,23.08955704
4,2004,504.6,14.288681
5,2004,1075,30.44061053
6,2004,454.6,12.87283865
7,2004,391.4,11.08321392
8,2004,661.2,18.72309924
9,2004,1317,37.2932875
10,2004,327.2,9.265272338
11,2004,406.9,11.52212504
12,2004,536.4,15.18915673
1,2005,834.1,23.61908208
2,2005,588.7,16.67012783
3,2005,1238,35.05625659
4,2005,1270,35.96239569
5,2005,750.1,21.24046693
6,2005,252.8,7.158498922
7,2005,183,5.181983001
8,2005,233.3,6.606320405
9,2005,68,1.925545596
10,2005,270.1,7.648380375
11,2005,193.7,5.484973264
12,2005,734.1,20.78739738
1,2006,798.9,22.62232907
2,2006,513.9,14.55202767
3,2006,343.4,9.72400526
4,2006,285,8.070301395
5,2006,498.3,14.11028486
6,2006,1156,32.73427513
7,2006,605.9,17.1571776
8,2006,257.9,7.302914841
9,2006,2071,58.64419014
10,2006,422.9,11.9751946
11,2006,2435,68.95152245
12,2006,1431,40.52140806
1,2007,1675,47.43071873
2,2007,941.3,26.65464808
3,2007,688.6,19.49898084
4,2007,623.4,17.65272242
5,2007,207.1,5.864419014
6,2007,131,3.709506957
7,2007,137.5,3.893566463
8,2007,84.4,2.389941887
9,2007,70.8,2.004832768
10,2007,75.5,2.137921949
11,2007,65.5,1.854753479
12,2007,238.6,6.756399694
1,2008,343,9.712678521
2,2008,689.8,19.53296106
3,2008,1150,32.56437405
4,2008,1073,30.38397683
5,2008,495.3,14.02533432
6,2008,98.2,2.780714375
7,2008,81.4,2.304991346
8,2008,40.2,1.138337249
9,2008,232.4,6.580835243
10,2008,183.3,5.190478055
11,2008,397.9,11.26727342
12,2008,614,17.38654406
1,2009,676.1,19.14502026
2,2009,420.7,11.91289753
3,2009,1655,46.86438179
4,2009,969.8,27.46167822
5,2009,444.8,12.59533355
6,2009,454.2,12.86151191
7,2009,138.8,3.930378364
8,2009,126.1,3.570754407
9,2009,93.4,2.64479351
10,2009,76.6,2.16907048
11,2009,430.3,12.18473926
12,2009,1167,33.04576045
1,2010,1475,41.76734933
2,2010,2428,68.75330452
3,2010,1122,31.77150233
4,2010,1131,32.02635396
5,2010,512.8,14.52087914
6,2010,322.4,9.129351473
7,2010,78.2,2.214377435
8,2010,110.4,3.126179909
9,2010,116.7,3.304576045
10,2010,1204,34.09348379
11,2010,187.6,5.312240497
12,2010,268.8,7.611568474
